time,time,G
2024-01-13 08:00:00,2024-01-13 08:00:00,366.6
2024-01-13 09:00:00,2024-01-13 09:00:00,556.0
2024-01-13 10:00:00,2024-01-13 10:00:00,684.65
2024-01-13 11:00:00,2024-01-13 11:00:00,716.25
2024-01-13 12:00:00,2024-01-13 12:00:00,706.03
2024-01-13 13:00:00,2024-01-13 13:00:00,706.53
2024-01-13 14:00:00,2024-01-13 14:00:00,530.65
2024-01-13 15:00:00,2024-01-13 15:00:00,382.35
2024-01-13 16:00:00,2024-01-13 16:00:00,199.43
2024-01-13 17:00:00,2024-01-13 17:00:00,49.83
2024-01-13 18:00:00,2024-01-13 18:00:00,0.0
2024-01-13 19:00:00,2024-01-13 19:00:00,0.0
2024-01-13 20:00:00,2024-01-13 20:00:00,0.0
2024-01-13 21:00:00,2024-01-13 21:00:00,0.0
2024-01-13 22:00:00,2024-01-13 22:00:00,0.0
2024-01-13 23:00:00,2024-01-13 23:00:00,0.0
2024-01-14 00:00:00,2024-01-14 00:00:00,0.0
2024-01-14 01:00:00,2024-01-14 01:00:00,0.0
2024-01-14 02:00:00,2024-01-14 02:00:00,0.0
2024-01-14 03:00:00,2024-01-14 03:00:00,0.0
2024-01-14 04:00:00,2024-01-14 04:00:00,0.0
2024-01-14 05:00:00,2024-01-14 05:00:00,0.0
2024-01-14 06:00:00,2024-01-14 06:00:00,21.67
2024-01-14 07:00:00,2024-01-14 07:00:00,199.55
2024-01-14 08:00:00,2024-01-14 08:00:00,415.45
2024-01-14 09:00:00,2024-01-14 09:00:00,601.12
2024-01-14 10:00:00,2024-01-14 10:00:00,761.35
2024-01-14 11:00:00,2024-01-14 11:00:00,832.3
2024-01-14 12:00:00,2024-01-14 12:00:00,867.88
2024-01-14 13:00:00,2024-01-14 13:00:00,781.92
2024-01-14 14:00:00,2024-01-14 14:00:00,636.42
2024-01-14 15:00:00,2024-01-14 15:00:00,466.2
2024-01-14 16:00:00,2024-01-14 16:00:00,255.38
2024-01-14 17:00:00,2024-01-14 17:00:00,63.5
2024-01-14 18:00:00,2024-01-14 18:00:00,0.0
2024-01-14 19:00:00,2024-01-14 19:00:00,0.0
2024-01-14 20:00:00,2024-01-14 20:00:00,0.0
2024-01-14 21:00:00,2024-01-14 21:00:00,0.0
2024-01-14 22:00:00,2024-01-14 22:00:00,0.0
2024-01-14 23:00:00,2024-01-14 23:00:00,0.0
2024-01-15 00:00:00,2024-01-15 00:00:00,0.0
2024-01-15 01:00:00,2024-01-15 01:00:00,0.0
2024-01-15 02:00:00,2024-01-15 02:00:00,0.0
2024-01-15 03:00:00,2024-01-15 03:00:00,0.0
2024-01-15 04:00:00,2024-01-15 04:00:00,0.0
2024-01-15 05:00:00,2024-01-15 05:00:00,0.0
2024-01-15 06:00:00,2024-01-15 06:00:00,20.0
2024-01-15 07:00:00,2024-01-15 07:00:00,197.0
2024-01-15 08:00:00,2024-01-15 08:00:00,414.8
2024-01-15 09:00:00,2024-01-15 09:00:00,628.53
2024-01-15 10:00:00,2024-01-15 10:00:00,777.72
2024-01-15 11:00:00,2024-01-15 11:00:00,913.38
2024-01-15 12:00:00,2024-01-15 12:00:00,952.65
2024-01-15 13:00:00,2024-01-15 13:00:00,864.33
2024-01-15 14:00:00,2024-01-15 14:00:00,736.2
2024-01-15 15:00:00,2024-01-15 15:00:00,523.95
2024-01-15 16:00:00,2024-01-15 16:00:00,291.3
2024-01-15 17:00:00,2024-01-15 17:00:00,73.6
2024-01-15 18:00:00,2024-01-15 18:00:00,0.0
2024-01-15 19:00:00,2024-01-15 19:00:00,0.0
2024-01-15 20:00:00,2024-01-15 20:00:00,0.0
2024-01-15 21:00:00,2024-01-15 21:00:00,0.0
2024-01-15 22:00:00,2024-01-15 22:00:00,0.0
2024-01-15 23:00:00,2024-01-15 23:00:00,0.0
2024-01-16 00:00:00,2024-01-16 00:00:00,0.0
2024-01-16 01:00:00,2024-01-16 01:00:00,0.0
2024-01-16 02:00:00,2024-01-16 02:00:00,0.0
2024-01-16 03:00:00,2024-01-16 03:00:00,0.0
2024-01-16 04:00:00,2024-01-16 04:00:00,0.0
2024-01-16 05:00:00,2024-01-16 05:00:00,0.0
2024-01-16 06:00:00,2024-01-16 06:00:00,22.38
2024-01-16 07:00:00,2024-01-16 07:00:00,218.45
2024-01-16 08:00:00,2024-01-16 08:00:00,453.77
2024-01-16 09:00:00,2024-01-16 09:00:00,690.65
2024-01-16 10:00:00,2024-01-16 10:00:00,844.03
2024-01-16 11:00:00,2024-01-16 11:00:00,927.6
2024-01-16 12:00:00,2024-01-16 12:00:00,959.72
2024-01-16 13:00:00,2024-01-16 13:00:00,873.22
2024-01-16 14:00:00,2024-01-16 14:00:00,740.45
2024-01-16 15:00:00,2024-01-16 15:00:00,535.0
2024-01-16 16:00:00,2024-01-16 16:00:00,302.5
2024-01-16 17:00:00,2024-01-16 17:00:00,78.65
2024-01-16 18:00:00,2024-01-16 18:00:00,0.0
2024-01-16 19:00:00,2024-01-16 19:00:00,0.0
2024-01-16 20:00:00,2024-01-16 20:00:00,0.0
2024-01-16 21:00:00,2024-01-16 21:00:00,0.0
2024-01-16 22:00:00,2024-01-16 22:00:00,0.0
2024-01-16 23:00:00,2024-01-16 23:00:00,0.0
2024-01-17 00:00:00,2024-01-17 00:00:00,0.0
2024-01-17 01:00:00,2024-01-17 01:00:00,0.0
2024-01-17 02:00:00,2024-01-17 02:00:00,0.0
2024-01-17 03:00:00,2024-01-17 03:00:00,0.0
2024-01-17 04:00:00,2024-01-17 04:00:00,0.0
2024-01-17 05:00:00,2024-01-17 05:00:00,0.0
2024-01-17 06:00:00,2024-01-17 06:00:00,22.48
2024-01-17 07:00:00,2024-01-17 07:00:00,217.07
2024-01-17 08:00:00,2024-01-17 08:00:00,447.05
2024-01-17 09:00:00,2024-01-17 09:00:00,660.8
2024-01-17 10:00:00,2024-01-17 10:00:00,844.03
2024-01-17 11:00:00,2024-01-17 11:00:00,927.5
2024-01-17 12:00:00,2024-01-17 12:00:00,940.1
2024-01-17 13:00:00,2024-01-17 13:00:00,859.45
2024-01-17 14:00:00,2024-01-17 14:00:00,690.1
2024-01-17 15:00:00,2024-01-17 15:00:00,481.65
2024-01-17 16:00:00,2024-01-17 16:00:00,264.98
2024-01-17 17:00:00,2024-01-17 17:00:00,68.18
2024-01-17 18:00:00,2024-01-17 18:00:00,0.0
2024-01-17 19:00:00,2024-01-17 19:00:00,0.0
2024-01-17 20:00:00,2024-01-17 20:00:00,0.0
2024-01-17 21:00:00,2024-01-17 21:00:00,0.0
2024-01-17 22:00:00,2024-01-17 22:00:00,0.0
2024-01-17 23:00:00,2024-01-17 23:00:00,0.0
2024-01-18 00:00:00,2024-01-18 00:00:00,0.0
2024-01-18 01:00:00,2024-01-18 01:00:00,0.0
2024-01-18 02:00:00,2024-01-18 02:00:00,0.0
2024-01-18 03:00:00,2024-01-18 03:00:00,0.0
2024-01-18 04:00:00,2024-01-18 04:00:00,0.0
2024-01-18 05:00:00,2024-01-18 05:00:00,0.0
2024-01-18 06:00:00,2024-01-18 06:00:00,17.62
2024-01-18 07:00:00,2024-01-18 07:00:00,190.45
2024-01-18 08:00:00,2024-01-18 08:00:00,428.73
2024-01-18 09:00:00,2024-01-18 09:00:00,676.9
2024-01-18 10:00:00,2024-01-18 10:00:00,847.2
2024-01-18 11:00:00,2024-01-18 11:00:00,945.55
2024-01-18 12:00:00,2024-01-18 12:00:00,956.97
2024-01-18 13:00:00,2024-01-18 13:00:00,862.67
2024-01-18 14:00:00,2024-01-18 14:00:00,708.58
2024-01-18 15:00:00,2024-01-18 15:00:00,528.97
2024-01-18 16:00:00,2024-01-18 16:00:00,296.98
2024-01-18 17:00:00,2024-01-18 17:00:00,76.93
2024-01-18 18:00:00,2024-01-18 18:00:00,0.0
2024-01-18 19:00:00,2024-01-18 19:00:00,0.0
2024-01-18 20:00:00,2024-01-18 20:00:00,0.0
2024-01-18 21:00:00,2024-01-18 21:00:00,0.0
2024-01-18 22:00:00,2024-01-18 22:00:00,0.0
2024-01-18 23:00:00,2024-01-18 23:00:00,0.0
2024-01-19 00:00:00,2024-01-19 00:00:00,0.0
2024-01-19 01:00:00,2024-01-19 01:00:00,0.0
2024-01-19 02:00:00,2024-01-19 02:00:00,0.0
2024-01-19 03:00:00,2024-01-19 03:00:00,0.0
2024-01-19 04:00:00,2024-01-19 04:00:00,0.0
2024-01-19 05:00:00,2024-01-19 05:00:00,0.0
2024-01-19 06:00:00,2024-01-19 06:00:00,17.33
2024-01-19 07:00:00,2024-01-19 07:00:00,164.15
2024-01-19 08:00:00,2024-01-19 08:00:00,350.98
2024-01-19 09:00:00,2024-01-19 09:00:00,533.55
2024-01-19 10:00:00,2024-01-19 10:00:00,749.15
2024-01-19 11:00:00,2024-01-19 11:00:00,805.85
2024-01-19 12:00:00,2024-01-19 12:00:00,818.03
2024-01-19 13:00:00,2024-01-19 13:00:00,745.03
2024-01-19 14:00:00,2024-01-19 14:00:00,597.92
2024-01-19 15:00:00,2024-01-19 15:00:00,429.05
2024-01-19 16:00:00,2024-01-19 16:00:00,236.57
2024-01-19 17:00:00,2024-01-19 17:00:00,65.2
2024-01-19 18:00:00,2024-01-19 18:00:00,0.0
2024-01-19 19:00:00,2024-01-19 19:00:00,0.0
